,ANALYSE 1,ANALYSE 2,ALGEBRE 2,PROCE FABRIC/DESSIN TECHN,ANALYSE DES CIRCUI /OPTIQ,ALGEBRE 1,CHIMIE,ELECTRICITE,THERMODYNAMIQUE,LANGUES,TECHNI D'EXPRESS & COMMU1,Mécanique du point,ELECTROMAGNETISME,ELECTRONIQUE,ANALYS NUMER /PROB & STAT,ALGORITHMIQUE & PROGRAMMA,BASE DE LA CONCEPTION,TECHNO/METALL ET THERMO,TECHNI DOC /PROD DOC/ENTR,DAO ET OUTILS DE MATLAB,ALGEBRE 3,MECANIQUE DU SOLIDE,TECHN D'EXPRE ET DE COMM,MOYENNE
1,5.957999999999999,4.603,10.742,10.880999999999998,12.89,13.133,12.187999999999999,11.788,13.458,13.395999999999999,14.187999999999999,7.894,7.944,12.06,8.698,9.93,13.462,15.249,13.698,12.43,10.315999999999999,6.989,12.833,11.075
5,9.353,7.992000000000001,9.154,10.564,12.700999999999999,17.22,12.404000000000002,13.122,13.671,13.015999999999998,12.607000000000001,11.42,8.889,10.495,9.324,11.33,11.489,16.172,12.627,16.33,14.395,8.267000000000001,12.83,11.972999999999999
13,13.162,8.142000000000001,5.215,8.104,10.892999999999999,16.334,12.208,12.422,14.659,13.978,12.835999999999999,7.791,9.089,10.14,8.536,6.505,9.699,11.618,11.950999999999999,11.995,9.472999999999999,5.131,11.581,10.498
14,8.185,5.523,8.771,10.177999999999999,10.312000000000001,8.814,5.877999999999999,9.177999999999999,7.724,12.722999999999999,12.868,5.7010000000000005,7.334,12.411,7.5889999999999995,9.89,10.605,10.839,14.5,11.130999999999998,6.499,5.59,10.440999999999999,9.247
17,8.228,11.401,9.265,13.418,12.199000000000002,12.107999999999999,11.519,12.368,11.321,11.812999999999999,11.402000000000001,9.81,9.426,11.158,12.63,13.312000000000001,13.552999999999999,14.046,11.91,9.033999999999999,13.142999999999999,8.635,10.497,11.4
21,8.696,5.356,8.287,7.309,12.581,11.814,12.582,10.82,11.913,13.495999999999999,12.356,9.718,8.463,8.812999999999999,10.251,9.754,10.629000000000001,13.275,12.059000000000001,13.759,14.435,6.926,11.370999999999999,10.637
27,5.649,5.936,8.574,6.898,8.982000000000001,11.099,9.679,11.752,8.98,13.857000000000001,13.734000000000002,7.72,5.917000000000001,7.947,5.2410000000000005,8.555,10.841,11.807,13.717,7.47,8.396,5.565,13.285,9.2
28,5.816,4.808,10.609000000000002,11.117,12.957,13.700999999999999,12.525,11.495,13.085,13.589,14.142999999999999,7.972,7.6770000000000005,12.032,9.222999999999999,10.075,13.196,15.202,13.633,12.394,10.493,7.207999999999999,12.904000000000002,11.124
31,5.044,8.785,12.145999999999999,7.4639999999999995,12.324000000000002,12.674000000000001,11.229000000000001,9.229,11.394,13.07,11.884,10.17,10.322000000000001,10.9,10.17,10.681,12.08,12.936,13.981,10.158,10.635,6.29,11.919,10.673
32,10.298,13.09,16.578,10.91,16.11,14.929,16.154,12.544,16.797,14.520999999999999,14.023,11.755999999999998,10.578,13.431,13.319,9.827,12.707,16.512999999999998,14.437999999999999,12.058,18.404,5.787000000000001,12.859000000000002,13.375
33,5.0360000000000005,7.002999999999999,10.475999999999999,10.245,10.8,11.155,12.855,11.212,8.47,12.823,12.59,8.359,10.706,11.634,8.637,11.802999999999999,11.353,14.279000000000002,14.933,12.902000000000001,11.806,7.39,12.465,10.823
36,5.902,6.63,8.041,8.484,10.297,13.487,10.98,10.402000000000001,7.665,12.743,10.889000000000001,4.119,9.396,8.461,7.047999999999999,6.5,11.392000000000001,12.390999999999998,10.575999999999999,14.897,10.008,5.474,10.377,9.398
37,7.401,5.697,9.729,11.234000000000002,12.932,14.968,12.776,10.956,14.225999999999999,14.350999999999999,15.199000000000002,10.125,10.71,11.745,12.179,13.526,12.952,14.470999999999998,16.301,11.898,14.036,9.111,13.856,12.19
42,8.679,7.402,12.442,8.089,12.02,12.32,8.04,6.8020000000000005,8.205,13.606,13.11,9.321,8.964,13.350999999999999,9.078,11.084000000000001,10.48,13.927999999999999,13.437000000000001,11.540999999999999,12.585999999999999,6.736000000000001,12.982999999999999,10.618
45,9.119,5.752000000000001,10.026,10.17,8.722999999999999,11.714,9.817,11.708,7.19,12.56,12.624,9.329,8.111,9.826,8.961,10.504000000000001,9.629,13.705,11.607999999999999,13.227,8.817,3.978,13.107000000000001,10.009
47,8.902999999999999,8.287,10.449000000000002,8.693,11.933,11.394,12.63,11.705,13.952,11.509,12.647,6.3839999999999995,6.077999999999999,10.454,11.495,10.724,12.456,11.152000000000001,13.595,11.523,8.998,6.513999999999999,11.512,10.565
50,12.62,11.853,12.446,9.077,14.431,15.401,13.204,13.853,12.376,13.187000000000001,12.007,10.77,10.773,13.299000000000001,8.513,9.606,12.062999999999999,13.508,12.89,9.943,12.030999999999999,8.919,12.455,11.966
51,8.977,6.086,9.933,10.572000000000001,9.068999999999999,11.36,9.817,12.030999999999999,7.397,12.725,12.985,9.323,7.985,10.061,9.504,10.527999999999999,9.486,13.866,11.807,12.785,8.532,3.803,13.41,10.089
52,6.357,7.861000000000001,10.52,8.466000000000001,9.793,9.217,9.985,9.661,7.617999999999999,13.083,12.972999999999999,7.495,10.732999999999999,10.374,6.982,6.811,10.707,11.16,11.495999999999999,10.548,10.472000000000001,5.437,12.725,9.586
53,6.707999999999999,8.729,9.95,8.817,10.993,13.035,12.505999999999998,9.98,11.257,12.892999999999999,11.937999999999999,8.657,8.537,11.312000000000001,8.46,8.712,10.764000000000001,12.823,14.418,12.970999999999998,10.447000000000001,5.118,12.225,10.489
55,4.919,8.217,11.974,7.744,12.29,12.835999999999999,11.292,9.482999999999999,10.784,12.852,11.806,9.562000000000001,10.107999999999999,11.225,10.03,10.48,11.606,13.15,14.68,10.607999999999999,10.919,5.6,11.48,10.593
61,8.91,8.145,9.988999999999999,8.901,11.376,10.722000000000001,12.362,11.779000000000002,13.972999999999999,11.435,12.902999999999999,6.654,5.749,10.35,11.277000000000001,10.259,12.42,11.238,13.367,11.882,8.946,6.097,11.610999999999999,10.45
62,8.988,5.9510000000000005,10.177,10.567,8.619,11.844000000000001,9.666,12.029000000000002,7.254,12.429,13.14,9.171,7.902,9.888,8.943999999999999,10.694,9.499,13.722000000000001,11.275,12.783,8.603,4.453,12.761,10.016
71,6.365,6.06,8.002,7.126,10.981,13.790999999999999,11.224,8.557,9.254,14.012,12.753,9.81,9.485,11.214,7.553,8.257,10.44,14.872,13.862,12.887,12.362,6.9479999999999995,11.619000000000002,10.323
74,10.172,9.471,14.199000000000002,6.162999999999999,12.29,10.715,12.487,12.889000000000001,16.625999999999998,11.917,8.856,10.758,10.63,11.734000000000002,7.602,5.454,13.600999999999999,11.764000000000001,8.561,8.98,11.725999999999999,7.084,8.541,10.530999999999999
