,ANALYSE 1,ANALYSE 2,ALGEBRE 2,PROCE FABRIC/DESSIN TECHN,ANALYSE DES CIRCUI /OPTIQ,ALGEBRE 1,CHIMIE,ELECTRICITE,THERMODYNAMIQUE,LANGUES,TECHNI D'EXPRESS & COMMU1,Mécanique du point,ELECTROMAGNETISME,ELECTRONIQUE,ANALYS NUMER /PROB & STAT,ALGORITHMIQUE & PROGRAMMA,BASE DE LA CONCEPTION,TECHNO/METALL ET THERMO,TECHNI DOC /PROD DOC/ENTR,DAO ET OUTILS DE MATLAB,ALGEBRE 3,MECANIQUE DU SOLIDE,TECHN D'EXPRE ET DE COMM,MOYENNE
0,10.163,13.003,10.208,8.411,12.385,15.165999999999999,14.602,8.88,11.222999999999999,12.988,13.210999999999999,8.966000000000001,10.213,11.538,8.085,7.792999999999999,12.217,13.247,15.212,14.177999999999999,12.923,8.295,12.474,11.538
2,13.577,13.915999999999999,19.037,10.794,15.338,19.827,16.489,12.529000000000002,16.101,14.389000000000001,12.918,11.605,12.48,16.323,14.515,16.794,16.381,15.902000000000001,16.017,17.421,17.854,11.852,13.609000000000002,15.029000000000002
3,8.45,12.192,12.672,10.732000000000001,11.974,13.774000000000001,11.411,12.504000000000001,12.852,14.360999999999999,13.866,10.374,8.963,13.45,13.058,10.582,12.125,16.616,15.815,14.372,11.777000000000001,9.302999999999999,12.07,12.317
6,5.04,5.697,9.982999999999999,10.152999999999999,11.342,13.032,11.748,10.15,13.811,12.664000000000001,12.98,7.6,10.935,12.374,7.398,10.806,13.347999999999999,13.127,13.405999999999999,14.295,14.81,8.207,11.52,11.062000000000001
7,8.317,5.519,10.758,11.624,12.262,10.923,12.184000000000001,11.21,12.33,13.255999999999998,14.689,8.939,10.478,12.765999999999998,8.548,12.417,12.583,14.58,15.112,14.982000000000001,13.057,8.352,11.683,11.59
8,6.356,8.552999999999999,13.378,9.982999999999999,13.386,11.755,9.232000000000001,11.294,11.855,13.273,11.9,9.294,8.482999999999999,11.880999999999998,11.163,10.32,11.770999999999999,13.465,12.735999999999999,13.982999999999999,12.49,8.513,11.397,11.151
12,7.359,8.152999999999999,11.35,10.662,13.257,12.35,12.825,9.834,13.308,13.764000000000001,12.648,9.421,12.110999999999999,12.329,9.072000000000001,10.612,10.728,17.403,16.605,13.245,12.214,10.414000000000001,12.963,11.853
15,9.276,11.287,15.742,11.753,12.552999999999999,14.099,13.877,12.671,13.299000000000001,13.856,13.095999999999998,10.819,9.529,14.449000000000002,12.919,13.354000000000001,13.365,15.892999999999999,12.876,18.739,14.773,10.817,11.870999999999999,13.083
16,8.004,5.695,11.14,10.81,12.913,11.115,12.120999999999999,10.823,12.917,13.165999999999999,14.274000000000001,9.06,10.607000000000001,12.795,8.283,12.913,12.314,14.293,15.390999999999998,15.209000000000001,12.388,8.469,11.526,11.575
18,6.261,8.314,10.904000000000002,11.28,14.03,14.128,12.128,10.5,10.031,12.075999999999999,12.289000000000001,6.917999999999999,9.557,12.674000000000001,10.519,13.467,11.648,15.345999999999998,15.161,16.207,11.02,10.007,12.110999999999999,11.59
19,4.7780000000000005,8.449,9.959,9.698,12.857999999999999,11.41,13.186,10.071,12.822000000000001,13.67,13.062999999999999,10.99,11.524000000000001,14.062999999999999,11.872,9.802999999999999,11.747,15.31,13.202,15.025,12.436,7.665,13.620999999999999,11.618
22,7.814,5.606,11.422,11.652999999999999,12.46,10.761,12.315999999999999,11.049000000000001,12.405,13.067,14.716,8.881,10.462,12.507,8.616,13.39,12.763,14.186,15.527000000000001,15.263,12.865,8.542,11.532,11.644
24,10.525,9.971,10.427999999999999,10.823,11.933,13.623,9.371,12.044,12.148,13.511,13.379000000000001,10.322000000000001,8.152000000000001,8.7,9.317,11.62,13.335,15.595999999999998,14.037,10.905999999999999,12.806,5.9079999999999995,12.600999999999999,11.35
25,10.837,12.509,8.907,10.345,13.929,13.737,13.464,12.294,14.3,12.913,12.713,10.38,9.811,11.8,11.4,9.46,13.947000000000001,14.925,15.776,13.387,11.253,7.537999999999999,11.427999999999999,12.046
26,7.736000000000001,7.742000000000001,11.761,9.775,12.468,14.978,12.463,10.009,11.943,13.952,13.753,10.93,10.663,10.329,8.256,8.109,12.378,14.790999999999999,14.852,10.44,13.196,6.062,12.995999999999999,11.286
30,7.061,7.81,11.505,10.558,13.677999999999999,12.807,13.050999999999998,10.221,12.925,13.075,13.022,8.956,11.812999999999999,12.380999999999998,9.155,10.655999999999999,10.392000000000001,17.162,15.772,13.197000000000001,12.75,9.889,13.354000000000001,11.790999999999999
38,6.011,7.532,12.752,9.34,13.097999999999999,13.707,13.452,9.741,9.936,15.210999999999999,13.977,7.3,8.306000000000001,11.235999999999999,9.371,11.548,11.154000000000002,16.516,13.942,14.594000000000001,13.629000000000001,8.474,13.885,11.509
41,10.127,10.502,13.555,12.254000000000001,11.366,17.827,15.466,10.606,13.860999999999999,13.575,14.015999999999998,8.817,8.255,12.357999999999999,11.886,11.445,12.204,14.668,16.206,14.561,10.027000000000001,7.784,12.257,12.331
46,11.145,13.347000000000001,14.743,15.279000000000002,13.783,15.966,13.943,10.116,14.479000000000001,13.197000000000001,12.455,9.57,9.304,12.05,12.925,15.686,13.123,15.137,14.205,17.68,15.862,10.454,12.800999999999998,13.359000000000002
48,5.994,7.16,16.192,13.263,14.782,14.253,14.665,11.940999999999999,7.505,14.772,14.705,9.122,11.581,11.72,10.290999999999999,11.177999999999999,10.747,16.009,13.956,9.806000000000001,14.073,6.751,11.975999999999999,11.845
49,5.989,7.127000000000001,16.114,13.040999999999999,15.189,13.568,14.919,11.707,6.848,14.270999999999999,14.658,9.142000000000001,10.845,11.703,10.087,11.558,10.575,16.049,13.959000000000001,9.855,13.345999999999998,6.527,12.222999999999999,11.709000000000001
56,7.794,13.154000000000002,14.407,13.783,13.402999999999999,17.752,15.520999999999999,12.675,16.197,14.644,14.677,11.595,10.039,14.667,14.446,14.222999999999999,14.318,16.322,15.686,16.702,17.195999999999998,11.197000000000001,14.272,14.116
57,9.734,11.45,13.593,11.965,13.414000000000001,17.479,10.915,11.315999999999999,11.787,12.993,12.282,10.693,9.061,13.184000000000001,9.508,10.732999999999999,12.097000000000001,13.11,12.355,15.383,13.845,10.731,12.369000000000002,12.174000000000001
58,5.069,6.896,9.941,8.322000000000001,13.522,10.56,14.456,12.103,12.728,14.440999999999999,14.007,10.472000000000001,10.937999999999999,11.795,7.88,10.273,13.818,16.679000000000002,17.087,13.110999999999999,10.812999999999999,10.523,13.095,11.675
60,5.8,6.869,15.946,12.929,15.206,13.715,14.735,11.962,7.115,14.465,14.409,8.782,10.901,11.965,10.225,10.958,10.792,16.046,14.17,9.948,14.105,6.345,12.384,11.729000000000001
63,5.016,6.124,9.894,10.228,11.839,13.431,11.805,10.134,13.732000000000001,12.505999999999998,13.052,7.644,10.835,12.847000000000001,7.595,10.312999999999999,13.610999999999999,13.045,13.718,13.657,14.859000000000002,7.935,11.287,11.092
65,10.11,10.747,12.985999999999999,12.0,8.105,15.0,10.841,11.456,10.417,12.866,12.231,7.131,8.193,11.390999999999998,9.744,11.524000000000001,13.81,15.306,12.927999999999999,15.629000000000001,12.947000000000001,8.175,11.037,11.503
66,9.219,12.395999999999999,10.1,7.63,12.415999999999999,15.633,14.17,8.485,11.229000000000001,13.370999999999999,12.847999999999999,9.285,10.151,11.032,7.691,7.7379999999999995,11.769,12.782,15.484000000000002,13.849,13.285,8.849,12.637,11.392999999999999
68,4.894,6.3629999999999995,11.140999999999998,12.398,12.755,11.185,12.889000000000001,10.49,12.630999999999998,12.499,13.988,8.642000000000001,6.772,13.265,11.242,13.454,12.708,13.501,16.253,16.942999999999998,14.7,9.67,12.719000000000001,11.787
69,12.509,9.526,15.062000000000001,9.209,13.419,13.957,12.807,13.321,13.324000000000002,12.811,11.398,8.658,9.554,12.945,9.005,7.9879999999999995,12.710999999999999,14.970999999999998,14.818,15.639000000000001,15.419,8.506,12.272,12.165999999999999
70,5.218999999999999,6.856,9.229,8.294,13.39,10.765,14.329,11.769,13.03,14.667,14.187000000000001,10.519,10.283,11.177,8.26,10.289000000000001,13.719000000000001,16.287,16.914,12.620999999999999,10.661,10.389000000000001,12.727,11.547
75,4.967,8.851,10.350999999999999,9.498,12.167,11.488,13.109000000000002,10.048,12.841,14.055,13.052,11.164000000000001,11.674000000000001,14.186,11.286,9.713,12.049000000000001,15.299000000000001,13.558,15.035,12.53,7.893,13.084000000000001,11.648
77,5.079,6.107,11.603,12.11,12.389000000000001,10.765999999999998,12.729000000000001,10.515,11.603,12.540999999999999,14.238,8.764,7.056,12.439,11.517999999999999,12.884,12.241,14.058,15.722000000000001,17.173,14.599,9.55,12.657,11.667
78,9.793,10.228,13.19,11.649000000000001,8.435,15.529000000000002,10.628,11.263,10.731,12.8,12.116,7.087999999999999,8.408999999999999,12.22,9.82,12.501,13.039000000000001,15.827,13.305,15.556,13.382,7.731,11.237,11.585999999999999
81,6.447,7.62,12.2,9.312000000000001,13.225,11.360999999999999,13.129000000000001,9.132,8.775,13.657,12.418,9.997,10.819,13.741,9.41,13.025,14.220999999999998,14.526,15.244000000000002,17.614,14.13,8.181000000000001,13.043,11.793
86,10.174,9.64,9.552999999999999,11.217,12.574000000000002,13.458,9.045,12.128,11.870999999999999,14.065,12.913,9.844,7.806,8.715,8.879,11.661,13.520999999999999,15.206,13.950999999999999,10.785,13.055,5.712999999999999,12.569,11.232000000000001
89,9.562999999999999,13.042,9.992,8.124,12.481,15.345,14.071,9.091000000000001,11.595999999999998,13.15,13.071,9.742,9.974,11.600999999999999,7.874,7.1339999999999995,12.093,12.84,15.25,13.244000000000002,13.347999999999999,8.514,12.554,11.465
92,11.962,14.731,17.422,7.0329999999999995,13.498,16.544,14.100999999999999,12.834000000000001,14.642000000000001,13.578,14.091,12.21,10.107000000000001,10.742,10.439,9.642000000000001,10.273,13.618,14.318,9.625,16.427,9.677,12.274000000000001,12.6
93,11.714,8.318,16.769000000000002,8.363999999999999,14.571,16.426,15.55,11.005,17.15,14.712,14.369000000000002,11.581,8.519,13.72,8.996,11.657,13.413,13.892000000000001,15.577,13.539000000000001,12.375,11.767999999999999,13.392999999999999,12.929
96,4.748,7.121,9.383,8.847999999999999,13.73,10.345,14.174000000000001,12.690999999999999,12.453,14.343,14.425999999999998,10.025,10.431,11.017000000000001,8.597000000000001,10.28,13.999,15.945,17.065,12.623,10.592,10.395999999999999,12.609000000000002,11.558
97,13.042,14.314,12.812999999999999,10.184,13.306,17.042,12.425,10.144,14.238,12.012,12.366,9.187999999999999,6.824,9.279,11.22,14.56,13.043,14.209000000000001,13.982999999999999,9.133,14.241,10.154,11.885,12.157
98,5.307,6.306,11.734000000000002,11.914000000000001,12.713,10.937999999999999,12.67,10.825999999999999,11.804,12.243,13.937000000000001,8.592,7.031000000000001,12.868,10.847999999999999,13.447000000000001,12.49,13.383,15.517999999999999,16.317,13.844000000000001,9.04,12.241,11.565999999999999
99,7.7829999999999995,13.369000000000002,14.482000000000001,13.257,13.469000000000001,17.79,15.927999999999999,12.436,15.82,14.443,14.34,11.352,10.238,14.582,14.407,14.575,14.113,16.309,15.422,16.572,17.202,11.359000000000002,14.454,14.074000000000002
100,10.674000000000001,11.909,12.74,9.758,14.399000000000001,14.129000000000001,11.767999999999999,10.947000000000001,13.623,12.572000000000001,11.173,10.224,13.802999999999999,14.949000000000002,8.772,9.413,14.455,14.089,13.782,13.421,18.868,11.088,10.797,12.494000000000002
103,6.856,11.113,11.8,7.763999999999999,10.593,11.427,11.162,8.589,10.422,14.625,14.374,9.73,10.960999999999999,11.504000000000001,13.581,11.087,12.892000000000001,16.688,15.110999999999999,11.18,11.015999999999998,9.383,14.468,11.579
104,9.181000000000001,4.869,10.036,10.637,11.552,10.679,10.790999999999999,7.691,6.059,12.401,13.649000000000001,8.35,8.639,10.600999999999999,9.397,16.105,11.437999999999999,13.800999999999998,14.088,14.509,13.366,5.278,13.311,10.714
109,6.915,9.51,13.229000000000001,10.085,12.808,17.303,15.755,12.543,14.433,14.536,14.445,10.952,12.014000000000001,13.585,10.914000000000001,13.562000000000001,11.807,17.09,15.389000000000001,16.041,12.593,11.592,13.460999999999999,13.068
112,10.138,10.270999999999999,12.935,11.515,8.566,14.657,10.710999999999999,11.205,10.75,12.797,12.227,7.039,8.291,11.892000000000001,10.076,11.671,13.459000000000001,15.562999999999999,13.168,15.649000000000001,13.008,8.191,11.322000000000001,11.526
114,18.669,12.581,14.675999999999998,9.031,14.929,14.183,15.841,11.912,12.538,12.259,12.927999999999999,10.93,11.907,14.085,14.064,14.134,15.239,15.95,15.622,14.628,17.082,8.458,11.6,13.619000000000002
115,12.847999999999999,9.613999999999999,15.949000000000002,9.222000000000001,14.54,16.515,14.001,10.466,11.884,15.402000000000001,13.507,11.328,10.802999999999999,14.145999999999999,12.048,12.873,12.722000000000001,15.317,15.378,13.692,15.956,9.807,12.950999999999999,13.085999999999999
117,10.074,5.3839999999999995,11.52,8.559,10.655999999999999,13.289000000000001,10.609000000000002,10.455,12.318,12.390999999999998,11.937999999999999,8.607999999999999,10.101,12.828,9.701,10.13,12.710999999999999,14.277000000000001,15.47,10.448,14.288,10.229,12.607999999999999,11.243
118,7.46,10.071,13.487,9.823,12.784,17.224,15.415,13.32,13.952,14.873,14.642000000000001,10.883,11.880999999999998,14.015,11.123,13.385,11.875,16.893,15.908,16.073,12.436,11.321,13.856,13.161
120,8.633,11.872,13.020999999999999,10.505,12.417,13.627,11.763,12.547,12.533,13.998,13.888,10.152000000000001,8.617,13.524000000000001,12.671,11.072000000000001,12.290999999999999,15.860999999999999,16.07,13.503,11.757,8.834,12.411,12.242
123,10.161,5.433,11.71,8.958,10.754000000000001,13.357000000000001,10.017000000000001,10.470999999999998,11.818,12.777000000000001,12.147,9.085,10.208,12.78,9.741,10.299000000000001,12.663,14.39,15.613,10.587,13.494000000000002,10.61,12.252,11.275
124,5.478,6.944,11.427,12.417,12.458,11.427999999999999,13.061,10.765,11.755999999999998,12.402000000000001,14.574000000000002,9.075,6.653,12.588,11.467,12.765999999999998,12.408,13.429,15.918,17.015,14.401,9.572000000000001,12.923,11.779000000000002
