,ANALYSE 1,ANALYSE 2,ALGEBRE 2,PROCE FABRIC/DESSIN TECHN,ANALYSE DES CIRCUI /OPTIQ,ALGEBRE 1,CHIMIE,ELECTRICITE,THERMODYNAMIQUE,LANGUES,TECHNI D'EXPRESS & COMMU1,Mécanique du point,ELECTROMAGNETISME,ELECTRONIQUE,ANALYS NUMER /PROB & STAT,ALGORITHMIQUE & PROGRAMMA,BASE DE LA CONCEPTION,TECHNO/METALL ET THERMO,TECHNI DOC /PROD DOC/ENTR,DAO ET OUTILS DE MATLAB,ALGEBRE 3,MECANIQUE DU SOLIDE,TECHN D'EXPRE ET DE COMM,FILIERE,MOYENNE
0,10.163,13.003,10.208,8.411,12.385,15.166,14.602,8.88,11.223,12.988,13.211,8.966,10.213,11.538,8.085,7.793,12.217,13.247,15.212,14.178,12.923,8.295,12.474,0.0,11.538
1,5.958,4.603,10.742,10.881,12.89,13.133,12.188,11.788,13.458,13.396,14.188,7.894,7.944,12.06,8.698,9.93,13.462,15.249,13.698,12.43,10.316,6.989,12.833,2.0,11.075
2,13.577,13.916,19.037,10.794,15.338,19.827,16.489,12.529,16.101,14.389,12.918,11.605,12.48,16.323,14.515,16.794,16.381,15.902,16.017,17.421,17.854,11.852,13.609,0.0,15.029
3,8.45,12.192,12.672,10.732,11.974,13.774,11.411,12.504,12.852,14.361,13.866,10.374,8.963,13.45,13.058,10.582,12.125,16.616,15.815,14.372,11.777,9.303,12.07,0.0,12.317
4,5.651,13.475,12.742,13.64,11.611,5.052,6.04,7.804,7.767,11.026,13.073,8.172,9.607,9.399,12.797,17.004,11.044,13.207,12.156,13.316,8.268,6.881,12.439,1.0,10.529
5,9.353,7.992,9.154,10.564,12.701,17.22,12.404,13.122,13.671,13.016,12.607,11.42,8.889,10.495,9.324,11.33,11.489,16.172,12.627,16.33,14.395,8.267,12.83,2.0,11.973
6,5.04,5.697,9.983,10.153,11.342,13.032,11.748,10.15,13.811,12.664,12.98,7.6,10.935,12.374,7.398,10.806,13.348,13.127,13.406,14.295,14.81,8.207,11.52,0.0,11.062
7,8.317,5.519,10.758,11.624,12.262,10.923,12.184,11.21,12.33,13.256,14.689,8.939,10.478,12.766,8.548,12.417,12.583,14.58,15.112,14.982,13.057,8.352,11.683,0.0,11.59
8,6.356,8.553,13.378,9.983,13.386,11.755,9.232,11.294,11.855,13.273,11.9,9.294,8.483,11.881,11.163,10.32,11.771,13.465,12.736,13.983,12.49,8.513,11.397,0.0,11.151
9,5.415,9.725,14.103,9.002,13.02,10.91,12.579,11.388,13.668,13.712,11.943,9.875,13.888,14.214,12.823,13.88,16.158,15.73,15.267,12.113,14.596,11.201,12.815,1.0,12.523
10,13.395,8.776,9.704,12.832,12.666,17.009,12.762,12.134,12.997,12.876,11.623,8.454,9.047,10.868,12.138,15.354,12.37,15.572,13.954,17.891,14.593,10.103,11.36,1.0,12.543
11,7.574,8.718,11.709,10.172,11.496,15.44,11.576,11.55,6.242,13.093,13.635,8.552,8.243,10.427,7.842,9.543,8.926,12.598,14.504,9.683,10.32,5.352,13.623,1.0,10.47
12,7.359,8.153,11.35,10.662,13.257,12.35,12.825,9.834,13.308,13.764,12.648,9.421,12.111,12.329,9.072,10.612,10.728,17.403,16.605,13.245,12.214,10.414,12.963,0.0,11.853
13,13.162,8.142,5.215,8.104,10.893,16.334,12.208,12.422,14.659,13.978,12.836,7.791,9.089,10.14,8.536,6.505,9.699,11.618,11.951,11.995,9.473,5.131,11.581,2.0,10.498
14,8.185,5.523,8.771,10.178,10.312,8.814,5.878,9.178,7.724,12.723,12.868,5.701,7.334,12.411,7.589,9.89,10.605,10.839,14.5,11.131,6.499,5.59,10.441,2.0,9.247
15,9.276,11.287,15.742,11.753,12.553,14.099,13.877,12.671,13.299,13.856,13.096,10.819,9.529,14.449,12.919,13.354,13.365,15.893,12.876,18.739,14.773,10.817,11.871,0.0,13.083
16,8.004,5.695,11.14,10.81,12.913,11.115,12.121,10.823,12.917,13.166,14.274,9.06,10.607,12.795,8.283,12.913,12.314,14.293,15.391,15.209,12.388,8.469,11.526,0.0,11.575
17,8.228,11.401,9.265,13.418,12.199,12.108,11.519,12.368,11.321,11.813,11.402,9.81,9.426,11.158,12.63,13.312,13.553,14.046,11.91,9.034,13.143,8.635,10.497,2.0,11.4
18,6.261,8.314,10.904,11.28,14.03,14.128,12.128,10.5,10.031,12.076,12.289,6.918,9.557,12.674,10.519,13.467,11.648,15.346,15.161,16.207,11.02,10.007,12.111,0.0,11.59
19,4.778,8.449,9.959,9.698,12.858,11.41,13.186,10.071,12.822,13.67,13.063,10.99,11.524,14.063,11.872,9.803,11.747,15.31,13.202,15.025,12.436,7.665,13.621,0.0,11.618
20,5.505,10.042,14.4,9.254,13.048,10.861,12.584,10.776,13.552,13.141,12.109,9.869,13.939,14.47,13.07,14.189,15.936,15.72,15.074,12.293,15.531,11.069,13.457,1.0,12.604
21,8.696,5.356,8.287,7.309,12.581,11.814,12.582,10.82,11.913,13.496,12.356,9.718,8.463,8.813,10.251,9.754,10.629,13.275,12.059,13.759,14.435,6.926,11.371,2.0,10.637
22,7.814,5.606,11.422,11.653,12.46,10.761,12.316,11.049,12.405,13.067,14.716,8.881,10.462,12.507,8.616,13.39,12.763,14.186,15.527,15.263,12.865,8.542,11.532,0.0,11.644
23,7.746,5.316,10.558,10.8,13.227,14.775,12.066,12.69,13.822,13.798,13.754,11.169,9.244,10.622,11.631,11.106,12.062,14.225,13.864,11.85,13.671,7.278,13.015,1.0,11.665
24,10.525,9.971,10.428,10.823,11.933,13.623,9.371,12.044,12.148,13.511,13.379,10.322,8.152,8.7,9.317,11.62,13.335,15.596,14.037,10.906,12.806,5.908,12.601,0.0,11.35
25,10.837,12.509,8.907,10.345,13.929,13.737,13.464,12.294,14.3,12.913,12.713,10.38,9.811,11.8,11.4,9.46,13.947,14.925,15.776,13.387,11.253,7.538,11.428,0.0,12.046
26,7.736,7.742,11.761,9.775,12.468,14.978,12.463,10.009,11.943,13.952,13.753,10.93,10.663,10.329,8.256,8.109,12.378,14.791,14.852,10.44,13.196,6.062,12.996,0.0,11.286
27,5.649,5.936,8.574,6.898,8.982,11.099,9.679,11.752,8.98,13.857,13.734,7.72,5.917,7.947,5.241,8.555,10.841,11.807,13.717,7.47,8.396,5.565,13.285,2.0,9.2
28,5.816,4.808,10.609,11.117,12.957,13.701,12.525,11.495,13.085,13.589,14.143,7.972,7.677,12.032,9.223,10.075,13.196,15.202,13.633,12.394,10.493,7.208,12.904,2.0,11.124
29,6.301,12.307,15.042,11.984,11.675,16.194,13.935,11.95,15.387,13.643,12.664,11.483,10.178,13.435,9.021,10.226,12.092,13.888,14.862,14.616,13.367,8.018,12.89,1.0,12.398
30,7.061,7.81,11.505,10.558,13.678,12.807,13.051,10.221,12.925,13.075,13.022,8.956,11.813,12.381,9.155,10.656,10.392,17.162,15.772,13.197,12.75,9.889,13.354,0.0,11.791
31,5.044,8.785,12.146,7.464,12.324,12.674,11.229,9.229,11.394,13.07,11.884,10.17,10.322,10.9,10.17,10.681,12.08,12.936,13.981,10.158,10.635,6.29,11.919,2.0,10.673
32,10.298,13.09,16.578,10.91,16.11,14.929,16.154,12.544,16.797,14.521,14.023,11.756,10.578,13.431,13.319,9.827,12.707,16.513,14.438,12.058,18.404,5.787,12.859,2.0,13.375
33,5.036,7.003,10.476,10.245,10.8,11.155,12.855,11.212,8.47,12.823,12.59,8.359,10.706,11.634,8.637,11.803,11.353,14.279,14.933,12.902,11.806,7.39,12.465,2.0,10.823
