,ANALYSE 1,ANALYSE 2,ALGEBRE 2,PROCE FABRIC/DESSIN TECHN,ANALYSE DES CIRCUI /OPTIQ,ALGEBRE 1,CHIMIE,ELECTRICITE,THERMODYNAMIQUE,LANGUES,TECHNI D'EXPRESS & COMMU1,Mécanique du point,ELECTROMAGNETISME,ELECTRONIQUE,ANALYS NUMER /PROB & STAT,ALGORITHMIQUE & PROGRAMMA,BASE DE LA CONCEPTION,TECHNO/METALL ET THERMO,TECHNI DOC /PROD DOC/ENTR,DAO ET OUTILS DE MATLAB,ALGEBRE 3,MECANIQUE DU SOLIDE,TECHN D'EXPRE ET DE COMM,MOYENNE
4,5.651,13.475,12.742,13.64,11.610999999999999,5.052,6.04,7.803999999999999,7.767,11.026,13.073,8.172,9.607000000000001,9.399,12.797,17.004,11.044,13.207,12.155999999999999,13.315999999999999,8.267999999999999,6.881,12.439,10.529000000000002
9,5.415,9.725,14.103,9.002,13.02,10.91,12.579,11.388,13.668,13.712,11.943,9.875,13.888,14.214,12.823,13.88,16.158,15.73,15.267000000000001,12.113,14.595999999999998,11.200999999999999,12.815,12.523
10,13.395,8.776,9.704,12.832,12.665999999999999,17.009,12.762,12.134,12.997,12.876,11.623,8.454,9.047,10.868,12.138,15.354000000000001,12.37,15.572000000000001,13.954,17.891,14.593,10.103,11.36,12.543
11,7.574,8.718,11.709000000000001,10.172,11.495999999999999,15.44,11.575999999999999,11.55,6.242000000000001,13.093,13.635,8.552,8.243,10.427,7.8420000000000005,9.543,8.926,12.597999999999999,14.504000000000001,9.683,10.32,5.352,13.623,10.47
20,5.505,10.042,14.4,9.254,13.048,10.860999999999999,12.584000000000001,10.776,13.552,13.140999999999998,12.109000000000002,9.869,13.939,14.47,13.07,14.189,15.936,15.72,15.074000000000002,12.293,15.530999999999999,11.069,13.457,12.604000000000001
23,7.746,5.316,10.558,10.8,13.227,14.775,12.065999999999999,12.69,13.822000000000001,13.798,13.754000000000001,11.169,9.244,10.622,11.630999999999998,11.106,12.062000000000001,14.225,13.864,11.85,13.671,7.278,13.015,11.665
29,6.301,12.307,15.042,11.984000000000002,11.675,16.194000000000003,13.935,11.95,15.387,13.642999999999999,12.664000000000001,11.482999999999999,10.177999999999999,13.435,9.021,10.226,12.092,13.888,14.862,14.616,13.367,8.017999999999999,12.89,12.398
34,7.8839999999999995,8.602,11.177,10.005,11.687999999999999,15.690999999999999,11.607999999999999,11.625,7.065,14.105,12.878,8.476,8.208,10.614,7.665,9.36,8.141,12.513,14.530999999999999,9.814,10.366,5.818,12.886,10.466
35,19.142,12.536,14.550999999999998,8.78,14.939,14.636,15.46,12.127,12.12,12.322000000000001,12.912,11.020999999999999,11.699000000000002,14.544,14.068,14.270999999999999,14.876,15.470999999999998,15.065,14.497,17.265,8.258,11.87,13.584000000000001
39,10.049,4.989,9.149,10.9,10.074,12.125,9.972999999999999,9.877,10.802,11.780999999999999,11.427,6.81,6.189,10.191,7.394,9.574,8.82,11.639000000000001,12.809000000000001,12.377,6.517,7.065,11.562999999999999,9.656
40,9.012,5.2860000000000005,9.203,11.593,10.423,12.052999999999999,9.613,9.729,11.183,11.794,11.334000000000001,7.502000000000001,5.992000000000001,9.911,7.084,9.22,9.085,11.347999999999999,13.484000000000002,13.262,6.669,6.7829999999999995,12.072000000000001,9.722999999999999
43,7.631,8.259,11.54,9.646,12.015,15.89,11.965,11.582,7.101,13.887,13.342,8.477,8.14,10.04,7.587000000000001,9.254,9.115,12.72,14.535,9.357999999999999,10.754000000000001,5.529,13.219000000000001,10.504000000000001
44,6.8,12.757,14.222000000000001,10.196,11.885,14.558,12.17,11.757,9.187999999999999,13.533,10.789000000000001,7.51,9.177999999999999,12.106,8.478,13.308,12.674000000000001,14.47,15.187999999999999,14.762,14.120999999999999,7.296,11.530999999999999,11.673
54,13.02,9.402999999999999,15.964,9.427,14.892000000000001,15.917,14.179,10.606,11.841,14.706,13.554,11.328,10.515999999999998,13.83,11.675999999999998,12.450999999999999,12.972999999999999,15.499,15.652000000000001,13.206,16.631,9.523,13.538,13.058
59,10.632,11.877,11.589,7.947,13.049000000000001,12.636,13.918,11.472000000000001,13.899000000000001,12.418,9.465,7.5729999999999995,8.008,11.071,12.860999999999999,11.764000000000001,11.025,14.681,12.942,13.058,10.696,7.046,9.392999999999999,11.262
64,6.651,9.806000000000001,9.007,11.164000000000001,11.628,13.972000000000001,12.962,14.119000000000002,14.425999999999998,12.517000000000001,13.465,9.554,9.587,11.202,9.975,11.595999999999998,12.924000000000001,13.808,11.47,13.493,10.253,7.417999999999999,12.747,11.467
67,8.024,10.251,12.829,12.998,13.307,13.780999999999999,11.13,8.677,13.796,13.907,14.022,9.044,9.969,12.849,10.53,10.25,13.172,13.937000000000001,14.998,11.119000000000002,11.857000000000001,8.945,12.960999999999999,11.841
72,9.656,11.017999999999999,12.657,12.744000000000002,15.200999999999999,15.167,13.72,11.583,14.692,13.593,15.165,9.488999999999999,9.204,13.311,11.64,13.895999999999999,13.152999999999999,14.145999999999999,15.267000000000001,17.159000000000002,14.136,11.068,13.36,13.088
73,5.525,8.075,9.391,8.056000000000001,11.45,9.398,8.535,9.979,10.935,13.665999999999999,14.165999999999999,8.881,9.651,9.842,10.767999999999999,9.88,12.009,13.187000000000001,14.749,11.565,13.927999999999999,7.27,11.597000000000001,10.544
76,5.965,8.675,9.141,7.813,11.559000000000001,10.168,9.007,10.044,11.132,13.75,13.804,8.88,9.168,9.916,11.015999999999998,10.049,11.962,12.367,14.925,11.530999999999999,14.025,7.37,11.547,10.600999999999999
79,7.986000000000001,8.828,11.59,9.925,11.911,15.956,11.755999999999998,11.623,7.705,13.822000000000001,13.231,8.92,8.139,9.539,7.446000000000001,9.147,8.73,12.54,14.799000000000001,9.227,10.322000000000001,5.9670000000000005,13.037,10.527999999999999
82,6.037000000000001,11.404000000000002,11.484000000000002,6.8260000000000005,11.804,10.61,10.169,9.679,10.966,11.802,11.94,10.208,9.398,9.737,9.892999999999999,10.931,12.237,14.322000000000001,12.74,16.663,14.57,9.922,11.869000000000002,11.095999999999998
83,13.954,13.942,14.450999999999999,10.232999999999999,15.2,17.61,12.45,13.481,11.785,12.804,10.559000000000001,11.427,10.440999999999999,15.107999999999999,13.259,12.145,12.530999999999999,16.191,15.43,17.063,13.651,11.132,12.587,13.367
84,6.027,7.606,12.602,10.298,11.886,16.139,16.015,13.333,14.464,12.616,10.725999999999999,12.944,12.705,10.008,10.431,9.605,13.052,13.322000000000001,13.544,9.796,10.927,8.012,13.245,11.709000000000001
87,7.959,7.223,10.245999999999999,12.126,11.258,13.574000000000002,12.317,10.484000000000002,10.312000000000001,12.659,12.01,9.825,9.701,11.31,10.18,9.698,10.777000000000001,14.35,14.552,11.662,12.238,7.59,12.39,11.062999999999999
88,6.295,9.855,8.895,11.075999999999999,11.104000000000001,14.453,13.057,14.045,14.44,12.536,13.32,9.242,9.994,10.857000000000001,9.337,12.306,12.492,13.875,12.025,14.158,11.097999999999999,7.321000000000001,12.970999999999998,11.511
90,10.655999999999999,13.618,14.725999999999999,15.450999999999999,13.8,16.355999999999998,13.710999999999999,10.421,14.854000000000001,12.929,12.366,9.626,9.187999999999999,12.550999999999998,12.722999999999999,16.035,13.299000000000001,15.8,14.537,17.91,16.741,10.542,12.052,13.474
91,7.999,10.296,12.998,13.317,13.780999999999999,14.151,10.822000000000001,9.08,13.54,14.213,13.024000000000001,7.886,9.667,11.845999999999998,10.237,10.835,13.568,14.429,15.857000000000001,11.368,12.317,9.493,13.004000000000001,11.901
101,6.058,12.229000000000001,15.329,11.455,11.637,15.991,13.532,12.225999999999999,15.468,13.004000000000001,12.432,11.604000000000001,9.894,13.017000000000001,8.964,10.06,11.913,14.042,14.557,14.575,13.503,7.641,12.722000000000001,12.254000000000001
102,5.36,8.298,7.5920000000000005,12.495999999999999,10.232000000000001,13.183,11.732999999999999,11.745,10.855,12.610999999999999,12.85,8.046,6.938,10.600999999999999,9.174,5.9510000000000005,12.161,10.814,14.21,13.49,11.040999999999999,7.196000000000001,11.885,10.368
108,13.909,14.354000000000001,14.7,9.972999999999999,15.283,17.416,11.959000000000001,13.463,11.708,12.948,11.222000000000001,11.866,10.507,14.332,13.117,12.405999999999999,12.31,15.884,14.867,17.41,13.815,11.164000000000001,12.369000000000002,13.347000000000001
111,11.214,7.337000000000001,10.462,10.466,11.89,14.368,9.155,10.241,8.144,11.936,10.684000000000001,6.236000000000001,9.093,9.913,9.23,9.177,10.111,13.554,12.606,16.926,8.636000000000001,6.442,10.472999999999999,10.360999999999999
119,13.937999999999999,14.238,14.684000000000001,10.475999999999999,14.947000000000001,17.295,11.77,13.382,12.09,12.732999999999999,10.651,11.664000000000001,10.649000000000001,15.144,13.194,12.095,12.689,15.527000000000001,14.912,17.057000000000002,13.798,10.931,11.992,13.298
121,9.875,11.902000000000001,13.790999999999999,9.722999999999999,13.192,15.252,14.534,10.04,12.995999999999999,12.14,12.459000000000001,9.642000000000001,10.07,13.049000000000001,10.843,11.842,13.465,14.065,14.152999999999999,13.808,13.319,10.074,10.956,12.225999999999999
122,6.7410000000000005,15.574000000000002,8.698,7.365,11.366,13.037,11.825,11.022,12.335,12.493,10.831,8.876,8.908999999999999,10.349,10.359000000000002,10.068,10.204,13.845999999999998,9.449,13.932,9.141,8.855,12.19,10.759
125,9.959,11.932,13.463,10.116,12.988,15.365,14.452,9.582,13.277999999999999,12.437000000000001,12.622,9.464,9.998,12.7,10.74,11.749,13.76,13.78,14.083,13.263,14.017000000000001,10.436,10.99,12.225
127,6.836,8.107000000000001,9.049,9.466000000000001,11.145999999999999,10.099,10.163,11.293,11.479000000000001,12.807,10.915999999999999,7.891,6.071000000000001,10.832,9.627,10.652999999999999,12.699000000000002,13.969000000000001,13.162,10.197000000000001,5.421,5.845,11.741,9.977
128,6.9079999999999995,9.953,10.835999999999999,9.216000000000001,12.305,10.758,11.110999999999999,12.860999999999999,13.163,13.372,12.693,8.005,6.9879999999999995,9.587,8.998,10.13,13.32,12.984000000000002,11.795,14.017999999999999,9.06,7.095,12.909,10.786
129,6.664,10.747,11.796,6.906000000000001,12.065999999999999,10.517999999999999,10.379000000000001,10.025,10.962,12.035,11.762,10.722000000000001,9.728,9.486,9.975,10.456,11.735999999999999,14.306,12.757,16.659000000000002,14.162,9.554,12.06,11.107000000000001
135,6.013,8.746,8.939,8.366,11.474,9.599,8.565,10.162,10.747,14.354000000000001,13.622,9.177999999999999,9.253,9.497,10.425,10.366,12.135,12.485,14.482000000000001,11.739,13.659,7.3229999999999995,11.386,10.544
