,ANALYSE 1,ANALYSE 2,ALGEBRE 2,PROCE FABRIC/DESSIN TECHN,ANALYSE DES CIRCUI /OPTIQ,ALGEBRE 1,CHIMIE,ELECTRICITE,THERMODYNAMIQUE,LANGUES,TECHNI D'EXPRESS & COMMU1,Mécanique du point,ELECTROMAGNETISME,ELECTRONIQUE,ANALYS NUMER /PROB & STAT,ALGORITHMIQUE & PROGRAMMA,BASE DE LA CONCEPTION,TECHNO/METALL ET THERMO,TECHNI DOC /PROD DOC/ENTR,DAO ET OUTILS DE MATLAB,ALGEBRE 3,MECANIQUE DU SOLIDE,TECHN D'EXPRE ET DE COMM,FILIERE,MOYENNE,OUTPUT
0,10.163,13.003,10.208,8.411,12.385,15.166,14.602,8.88,11.223,12.988,13.211,8.966000000000003,10.213,11.538,8.085,7.792999999999998,12.217,13.247,15.212,14.178,12.923,8.295,12.474,0.0,11.538,13.427
1,5.957999999999998,4.603,10.742,10.880999999999998,12.89,13.133,12.188,11.788,13.458,13.396,14.188,7.894,7.944,12.06,8.698,9.93,13.462,15.249,13.698,12.43,10.316,6.989,12.833,2.0,11.075,12.0
2,13.577,13.916,19.037,10.794,15.338,19.827,16.489,12.529000000000002,16.101,14.389,12.918,11.605,12.48,16.323,14.515,16.794,16.381,15.902,16.017,17.421,17.854,11.852,13.609000000000002,0.0,15.029000000000002,15.044
3,8.45,12.192,12.672,10.732,11.974,13.774,11.411,12.504,12.852,14.361,13.866,10.374,8.963,13.45,13.058,10.582,12.125,16.616,15.815,14.372,11.777,9.303,12.07,0.0,12.317,13.414
4,5.651,13.475,12.742,13.64,11.611,5.052,6.04,7.8039999999999985,7.767,11.026,13.073,8.172,9.607,9.399,12.797,17.004,11.044,13.207,12.156,13.316,8.267999999999999,6.881,12.439,1.0,10.529000000000002,11.647
5,9.353,7.992000000000001,9.154,10.564,12.701,17.22,12.404000000000002,13.122,13.671,13.015999999999998,12.607,11.42,8.889,10.495,9.324,11.33,11.489,16.172,12.627,16.33,14.395,8.267000000000001,12.83,2.0,11.973,11.782
6,5.04,5.697,9.983,10.153,11.342,13.032,11.748,10.15,13.811,12.664,12.98,7.6,10.935,12.374,7.398,10.806,13.348,13.127,13.406,14.295,14.81,8.207,11.52,0.0,11.062,12.268
7,8.317,5.519,10.758,11.624,12.262,10.923,12.184,11.21,12.33,13.255999999999998,14.689,8.939,10.478,12.765999999999998,8.548,12.417,12.583,14.58,15.112,14.982,13.057,8.352,11.683,0.0,11.59,14.611
8,6.356,8.552999999999999,13.378,9.983,13.386,11.755,9.232,11.294,11.855,13.273,11.9,9.294,8.482999999999999,11.880999999999998,11.163,10.32,11.771,13.465,12.736,13.983,12.49,8.513,11.397,0.0,11.151,11.308
9,5.415,9.725,14.103,9.002,13.02,10.91,12.579,11.388,13.668,13.712,11.943,9.875,13.888,14.214,12.823,13.88,16.158,15.73,15.267,12.113,14.595999999999998,11.201,12.815,1.0,12.523,13.384
