,FILIERE,OUTPUT,CONFIDENCE,INSERTIONSATISFACTION,RELATEDTOFIELD,CONDITIONS,SALAIRE
0,0.0,13.427,2.0,1.0,2.0,1.0,3.0
1,2.0,12.0,2.0,1.0,2.0,2.0,2.0
2,0.0,15.044,2.0,2.0,2.0,2.0,2.0
3,0.0,13.414,2.0,2.0,2.0,2.0,2.0
4,1.0,11.647,2.0,2.0,2.0,1.0,2.0
5,2.0,11.782,2.0,2.0,2.0,2.0,2.0
6,0.0,12.268,2.0,2.0,2.0,5.0,2.0
7,0.0,14.611,5.0,2.0,2.0,2.0,3.0
8,0.0,11.308,2.0,3.0,1.0,1.0,2.0
9,1.0,13.384,1.0,2.0,3.0,2.0,1.0
10,1.0,13.13,2.0,1.0,2.0,2.0,1.0
11,1.0,11.447,1.0,1.0,2.0,1.0,2.0
12,0.0,14.055,1.0,2.0,2.0,2.0,3.0
13,2.0,12.625,2.0,1.0,2.0,4.0,3.0
14,2.0,8.574,5.0,3.0,1.0,4.0,2.0
15,0.0,13.628,2.0,3.0,2.0,2.0,1.0
16,0.0,13.668,5.0,2.0,2.0,1.0,3.0
17,2.0,12.849,2.0,1.0,1.0,1.0,1.0
18,0.0,12.398,1.0,2.0,1.0,4.0,3.0
19,0.0,13.646,4.0,2.0,2.0,1.0,2.0
20,1.0,13.334,1.0,2.0,3.0,2.0,1.0
21,2.0,12.6,2.0,3.0,4.0,1.0,1.0
22,0.0,13.704,5.0,2.0,2.0,2.0,3.0
23,1.0,12.597,2.0,2.0,3.0,1.0,2.0
24,0.0,11.792,1.0,3.0,1.0,1.0,2.0
25,0.0,12.151,1.0,1.0,2.0,1.0,1.0
26,0.0,13.04,3.0,1.0,3.0,1.0,1.0
27,2.0,12.15,1.0,2.0,3.0,2.0,2.0
28,2.0,12.152,2.0,1.0,2.0,2.0,2.0
29,1.0,13.15,1.0,1.0,2.0,2.0,1.0
30,0.0,13.753,1.0,2.0,2.0,2.0,3.0
31,2.0,11.903,1.0,2.0,3.0,3.0,1.0
32,2.0,13.959,2.0,2.0,2.0,1.0,2.0
33,2.0,12.023,2.0,2.0,1.0,2.0,2.0
34,1.0,11.548,1.0,1.0,2.0,1.0,2.0
35,1.0,15.715,3.0,1.0,3.0,4.0,2.0
36,2.0,10.289,2.0,2.0,2.0,2.0,1.0
37,2.0,13.976,1.0,2.0,3.0,2.0,2.0
38,0.0,13.233,2.0,1.0,2.0,2.0,2.0
39,1.0,11.406,2.0,2.0,1.0,1.0,2.0
40,1.0,11.335,2.0,2.0,1.0,1.0,2.0
41,0.0,13.715,2.0,3.0,1.0,2.0,2.0
42,2.0,11.417,4.0,4.0,2.0,1.0,2.0
43,1.0,11.589,1.0,1.0,2.0,1.0,2.0
44,1.0,12.62,2.0,5.0,2.0,2.0,1.0
45,2.0,11.532,2.0,2.0,3.0,3.0,1.0
46,0.0,14.357,1.0,5.0,5.0,2.0,2.0
47,2.0,11.334,1.0,2.0,2.0,2.0,2.0
48,0.0,11.74,2.0,2.0,3.0,1.0,1.0
49,0.0,11.922,2.0,3.0,3.0,1.0,2.0
50,2.0,12.252,4.0,5.0,4.0,4.0,4.0
51,2.0,11.807,2.0,2.0,3.0,3.0,1.0
52,2.0,8.656,2.0,2.0,4.0,2.0,2.0
53,2.0,11.106,2.0,1.0,2.0,2.0,2.0
54,1.0,13.75,2.0,2.0,2.0,1.0,1.0
55,2.0,12.032,1.0,2.0,3.0,3.0,1.0
56,0.0,14.657,2.0,1.0,1.0,3.0,3.0
57,0.0,13.603,2.0,3.0,2.0,2.0,1.0
58,0.0,13.177,2.0,1.0,2.0,1.0,2.0
59,1.0,11.87,2.0,2.0,2.0,1.0,2.0
60,0.0,11.834,2.0,2.0,3.0,1.0,3.0
61,2.0,11.735,1.0,2.0,2.0,2.0,2.0
62,2.0,11.323,2.0,2.0,3.0,3.0,1.0
63,0.0,12.559,2.0,2.0,2.0,5.0,2.0
64,1.0,11.778,2.0,1.0,2.0,2.0,2.0
65,0.0,13.562,2.0,2.0,3.0,2.0,2.0
66,0.0,13.433,2.0,1.0,2.0,1.0,3.0
67,1.0,12.708,2.0,3.0,2.0,1.0,1.0
68,0.0,12.351,2.0,2.0,2.0,2.0,3.0
69,0.0,13.388,1.0,2.0,2.0,1.0,4.0
70,0.0,13.183,2.0,1.0,2.0,1.0,2.0
71,2.0,12.582,1.0,4.0,3.0,1.0,2.0
72,1.0,13.51,2.0,1.0,2.0,2.0,1.0
73,1.0,12.457,3.0,2.0,2.0,2.0,1.0
74,2.0,10.718,2.0,2.0,3.0,2.0,1.0
75,0.0,14.069,4.0,2.0,2.0,1.0,2.0
76,1.0,11.957,3.0,2.0,2.0,2.0,1.0
77,0.0,12.166,2.0,2.0,2.0,2.0,3.0
78,0.0,13.807,2.0,2.0,3.0,2.0,2.0
79,1.0,11.349,1.0,1.0,2.0,1.0,2.0
80,2.0,12.17,4.0,5.0,4.0,4.0,4.0
81,0.0,14.288,1.0,2.0,2.0,3.0,2.0
82,1.0,14.841,1.0,2.0,2.0,3.0,5.0
83,1.0,13.426,1.0,1.0,2.0,2.0,2.0
84,1.0,13.324,2.0,2.0,2.0,3.0,2.0
85,2.0,11.421,2.0,1.0,1.0,3.0,2.0
86,0.0,12.326,1.0,3.0,1.0,1.0,2.0
87,1.0,11.34,1.0,1.0,2.0,2.0,3.0
88,1.0,11.774,2.0,1.0,2.0,2.0,2.0
89,0.0,13.717,2.0,1.0,2.0,1.0,3.0
90,1.0,14.116,1.0,5.0,5.0,2.0,2.0
91,1.0,12.625,2.0,2.0,2.0,1.0,1.0
92,0.0,12.509,1.0,1.0,5.0,3.0,3.0
93,0.0,13.923,1.0,1.0,2.0,2.0,1.0
94,2.0,14.163,2.0,2.0,2.0,1.0,2.0
95,2.0,12.693,2.0,1.0,2.0,4.0,3.0
96,0.0,13.111,2.0,1.0,2.0,1.0,2.0
97,0.0,13.767,2.0,2.0,1.0,1.0,2.0
98,0.0,12.353,2.0,2.0,2.0,2.0,2.0
99,0.0,14.52,2.0,1.0,1.0,2.0,3.0
100,0.0,13.256,2.0,2.0,2.0,4.0,2.0
101,1.0,13.32,1.0,1.0,2.0,2.0,1.0
102,1.0,12.081,2.0,1.0,2.0,1.0,1.0
103,0.0,12.231,2.0,1.0,2.0,3.0,2.0
104,0.0,12.36,1.0,3.0,2.0,2.0,3.0
105,2.0,12.34,2.0,1.0,2.0,1.0,3.0
106,2.0,12.402,1.0,1.0,2.0,1.0,2.0
107,2.0,11.626,2.0,2.0,2.0,2.0,2.0
108,1.0,13.503,1.0,1.0,2.0,2.0,2.0
109,0.0,13.176,1.0,2.0,2.0,2.0,2.0
110,2.0,12.466,2.0,2.0,2.0,3.0,3.0
111,1.0,8.736,2.0,1.0,1.0,2.0,2.0
112,0.0,13.754,2.0,2.0,3.0,2.0,2.0
113,2.0,12.337,1.0,2.0,3.0,2.0,2.0
114,0.0,15.55,2.0,1.0,3.0,5.0,2.0
115,0.0,13.496,2.0,2.0,2.0,1.0,1.0
116,2.0,14.109,1.0,2.0,2.0,1.0,2.0
117,0.0,12.643,2.0,1.0,1.0,2.0,1.0
118,0.0,13.364,1.0,2.0,2.0,2.0,2.0
119,1.0,13.91,1.0,1.0,2.0,2.0,2.0
120,0.0,13.61,2.0,2.0,2.0,2.0,1.0
121,1.0,13.216,2.0,1.0,1.0,2.0,2.0
122,1.0,11.778,1.0,2.0,2.0,1.0,2.0
123,0.0,12.254,2.0,1.0,1.0,2.0,1.0
124,0.0,12.192,2.0,2.0,2.0,2.0,2.0
125,1.0,13.015,2.0,1.0,2.0,2.0,2.0
126,0.0,13.585,2.0,3.0,2.0,2.0,1.0
127,1.0,10.861,4.0,4.0,2.0,1.0,2.0
128,1.0,11.287,1.0,2.0,2.0,2.0,2.0
129,1.0,14.639,1.0,2.0,2.0,3.0,5.0
130,0.0,14.776,1.0,2.0,2.0,2.0,5.0
131,0.0,13.067,1.0,2.0,1.0,2.0,2.0
132,0.0,13.944,1.0,2.0,2.0,2.0,2.0
133,0.0,15.308,1.0,2.0,2.0,2.0,5.0
134,0.0,12.771,2.0,2.0,2.0,4.0,2.0
135,1.0,11.695,3.0,2.0,2.0,2.0,1.0
136,2.0,11.576,2.0,2.0,2.0,2.0,2.0
137,0.0,12.401,2.0,1.0,2.0,1.0,2.0
138,0.0,13.49,1.0,2.0,1.0,2.0,2.0
139,0.0,15.753,2.0,2.0,2.0,2.0,2.0
140,2.0,12.28,1.0,2.0,3.0,3.0,1.0
141,0.0,13.16,2.0,1.0,2.0,1.0,3.0
142,2.0,13.714,2.0,2.0,2.0,1.0,2.0
143,1.0,11.914,1.0,2.0,5.0,1.0,2.0
144,0.0,12.724,1.0,3.0,2.0,2.0,3.0
145,1.0,11.78,3.0,3.0,2.0,2.0,3.0
146,2.0,11.114,3.0,4.0,1.0,2.0,2.0
147,0.0,14.996,1.0,2.0,2.0,2.0,5.0
148,1.0,12.878,5.0,1.0,5.0,1.0,3.0
149,0.0,12.757,2.0,2.0,1.0,1.0,3.0
150,1.0,11.432,1.0,1.0,2.0,2.0,3.0
151,2.0,14.572,2.0,2.0,2.0,1.0,2.0
152,0.0,12.26,2.0,3.0,2.0,1.0,1.0
153,0.0,14.547,2.0,1.0,1.0,2.0,3.0
154,2.0,12.524,5.0,5.0,4.0,4.0,4.0
155,0.0,13.202,2.0,3.0,1.0,2.0,2.0
156,0.0,12.895,2.0,2.0,2.0,3.0,2.0
157,2.0,12.641,2.0,1.0,2.0,2.0,3.0
158,1.0,13.433,2.0,1.0,2.0,2.0,2.0
159,0.0,11.945,1.0,1.0,2.0,3.0,2.0
160,0.0,15.663,1.0,2.0,2.0,2.0,2.0
161,1.0,13.83,1.0,1.0,2.0,2.0,2.0
162,0.0,12.544,3.0,1.0,3.0,1.0,1.0
163,2.0,12.771,3.0,2.0,2.0,3.0,2.0
164,0.0,13.584,2.0,2.0,3.0,2.0,1.0
165,1.0,11.783,2.0,2.0,2.0,2.0,1.0
166,2.0,12.407,1.0,3.0,4.0,1.0,1.0
167,2.0,15.039,2.0,2.0,2.0,1.0,2.0
168,2.0,11.805,2.0,1.0,2.0,2.0,2.0
169,0.0,11.657,1.0,3.0,1.0,1.0,2.0
170,1.0,13.392,2.0,1.0,2.0,2.0,1.0
171,2.0,12.377,2.0,1.0,5.0,1.0,1.0
172,2.0,12.078,1.0,2.0,3.0,3.0,1.0
173,1.0,12.587,2.0,5.0,2.0,2.0,2.0
174,1.0,11.787,2.0,1.0,2.0,2.0,2.0
175,1.0,12.67,5.0,1.0,5.0,1.0,3.0
176,0.0,13.765,4.0,2.0,2.0,1.0,2.0
177,1.0,16.059,2.0,1.0,3.0,4.0,1.0
178,0.0,13.339,1.0,2.0,2.0,2.0,2.0
179,1.0,14.662,1.0,2.0,2.0,3.0,5.0
180,1.0,11.222,4.0,3.0,1.0,1.0,2.0
181,1.0,11.845,1.0,2.0,1.0,1.0,1.0
182,1.0,12.071,2.0,2.0,2.0,2.0,2.0
183,2.0,11.576,1.0,2.0,2.0,2.0,2.0
184,0.0,11.961,2.0,2.0,3.0,1.0,2.0
185,0.0,12.624,2.0,2.0,2.0,2.0,2.0
186,1.0,12.046,2.0,1.0,2.0,1.0,1.0
187,2.0,12.052,1.0,1.0,2.0,2.0,2.0
188,1.0,11.208,1.0,1.0,2.0,2.0,3.0
189,1.0,12.253,2.0,1.0,5.0,2.0,5.0
190,0.0,13.317,2.0,3.0,2.0,2.0,2.0
191,0.0,13.658,1.0,2.0,2.0,2.0,2.0
192,2.0,12.158,1.0,4.0,3.0,2.0,2.0
193,2.0,12.816,2.0,2.0,2.0,3.0,3.0
194,0.0,12.745,2.0,2.0,2.0,5.0,2.0
195,0.0,13.379,1.0,1.0,2.0,2.0,1.0
196,2.0,12.09,1.0,2.0,4.0,2.0,2.0
197,2.0,11.95,1.0,2.0,3.0,3.0,1.0
198,2.0,12.303,1.0,3.0,4.0,1.0,1.0
199,2.0,11.654,3.0,3.0,2.0,1.0,2.0
200,2.0,11.909,1.0,2.0,3.0,2.0,2.0
201,2.0,14.052,2.0,2.0,2.0,1.0,2.0
202,1.0,14.914,2.0,2.0,2.0,3.0,3.0
203,1.0,12.372,2.0,1.0,5.0,2.0,4.0
204,1.0,14.624,2.0,2.0,3.0,1.0,1.0
205,1.0,11.865,1.0,2.0,2.0,2.0,2.0
206,1.0,15.778,2.0,1.0,3.0,4.0,2.0
207,0.0,15.184,2.0,2.0,2.0,2.0,2.0
208,0.0,12.61,2.0,2.0,2.0,5.0,2.0
209,1.0,12.664,2.0,1.0,2.0,2.0,1.0
210,1.0,13.42,1.0,2.0,3.0,2.0,1.0
211,0.0,12.679,2.0,1.0,1.0,2.0,1.0
212,1.0,12.358,1.0,1.0,2.0,2.0,2.0
213,2.0,13.917,2.0,3.0,1.0,2.0,2.0
214,1.0,13.264,5.0,1.0,5.0,1.0,3.0
215,1.0,11.238,1.0,1.0,2.0,1.0,3.0
216,2.0,8.361,1.0,2.0,1.0,2.0,2.0
217,0.0,13.927,2.0,2.0,2.0,2.0,1.0
218,2.0,11.653,1.0,2.0,2.0,2.0,2.0
219,1.0,12.165,2.0,2.0,2.0,1.0,2.0
220,0.0,12.487,1.0,3.0,2.0,2.0,3.0
221,2.0,12.925,2.0,1.0,1.0,1.0,1.0
222,1.0,11.23,2.0,2.0,1.0,1.0,2.0
223,1.0,13.3,2.0,1.0,2.0,2.0,1.0
224,0.0,12.969,2.0,1.0,2.0,2.0,1.0
225,2.0,12.442,4.0,2.0,1.0,1.0,1.0
226,0.0,13.344,2.0,2.0,2.0,1.0,5.0
227,1.0,11.353,1.0,2.0,1.0,2.0,5.0
228,0.0,13.335,2.0,2.0,2.0,2.0,1.0
229,1.0,15.745,2.0,1.0,3.0,4.0,2.0
230,0.0,12.351,2.0,3.0,2.0,1.0,1.0
231,1.0,11.478,1.0,1.0,2.0,1.0,2.0
232,2.0,11.357,4.0,3.0,2.0,1.0,2.0
233,2.0,10.653,2.0,2.0,3.0,2.0,1.0
234,1.0,11.233,2.0,3.0,2.0,2.0,2.0
235,2.0,11.492,1.0,2.0,1.0,2.0,1.0
236,2.0,12.135,1.0,1.0,2.0,2.0,1.0
237,2.0,12.231,2.0,2.0,2.0,2.0,3.0
238,2.0,12.325,1.0,5.0,3.0,1.0,2.0
239,0.0,13.209,2.0,2.0,2.0,2.0,1.0
240,0.0,12.236,1.0,2.0,1.0,4.0,3.0
241,2.0,12.195,1.0,2.0,3.0,3.0,1.0
242,2.0,11.378,1.0,2.0,2.0,2.0,2.0
243,2.0,11.711,1.0,2.0,2.0,2.0,2.0
244,2.0,9.972,2.0,2.0,2.0,2.0,1.0
245,2.0,11.731,1.0,2.0,3.0,3.0,1.0
246,1.0,13.012,2.0,1.0,2.0,1.0,2.0
247,0.0,14.071,2.0,2.0,2.0,2.0,1.0
248,2.0,11.108,4.0,3.0,2.0,1.0,2.0
249,0.0,13.705,2.0,3.0,2.0,2.0,1.0
250,1.0,12.345,2.0,1.0,2.0,3.0,2.0
251,1.0,12.619,2.0,2.0,3.0,1.0,2.0
252,0.0,11.893,2.0,5.0,2.0,2.0,1.0
253,1.0,10.719,2.0,1.0,2.0,2.0,2.0
254,1.0,8.3,2.0,1.0,1.0,2.0,2.0
255,1.0,13.315,2.0,1.0,2.0,2.0,2.0
256,0.0,12.847,1.0,2.0,2.0,1.0,4.0
257,1.0,13.532,2.0,1.0,2.0,2.0,1.0
258,0.0,15.037,1.0,2.0,2.0,2.0,5.0
259,2.0,11.792,2.0,1.0,5.0,1.0,1.0
260,1.0,14.544,1.0,2.0,2.0,3.0,5.0
261,2.0,11.428,1.0,2.0,1.0,2.0,1.0
262,2.0,14.508,1.0,2.0,2.0,1.0,2.0
263,2.0,11.693,1.0,3.0,1.0,1.0,1.0
264,2.0,13.547,2.0,1.0,1.0,1.0,1.0
265,0.0,12.544,2.0,1.0,2.0,3.0,2.0
266,0.0,12.853,3.0,1.0,3.0,1.0,1.0
267,2.0,11.449,2.0,1.0,2.0,2.0,2.0
268,2.0,11.791,2.0,2.0,3.0,3.0,1.0
269,0.0,15.484,2.0,2.0,2.0,1.0,2.0
270,1.0,12.766,2.0,1.0,2.0,1.0,4.0
271,0.0,13.802,2.0,2.0,3.0,2.0,1.0
272,2.0,13.4,2.0,1.0,1.0,1.0,1.0
273,1.0,12.422,2.0,1.0,2.0,2.0,1.0
274,1.0,12.816,2.0,2.0,2.0,1.0,1.0
275,1.0,11.369,1.0,2.0,1.0,2.0,5.0
276,1.0,12.813,2.0,2.0,2.0,1.0,1.0
277,1.0,12.958,1.0,2.0,3.0,2.0,1.0
278,1.0,12.323,1.0,1.0,2.0,2.0,1.0
279,0.0,15.212,1.0,2.0,2.0,2.0,5.0
280,1.0,14.004,1.0,1.0,2.0,2.0,2.0
281,1.0,13.975,2.0,2.0,2.0,2.0,2.0
282,2.0,11.017,2.0,1.0,2.0,2.0,2.0
283,2.0,13.192,2.0,1.0,1.0,1.0,1.0
284,1.0,10.905,2.0,3.0,2.0,2.0,2.0
285,2.0,14.32,2.0,2.0,2.0,1.0,2.0
286,0.0,12.561,1.0,1.0,5.0,3.0,3.0
287,0.0,13.377,2.0,2.0,1.0,2.0,1.0
288,0.0,12.157,2.0,2.0,2.0,3.0,2.0
289,1.0,13.283,1.0,2.0,3.0,2.0,1.0
290,0.0,12.902,1.0,1.0,2.0,3.0,2.0
291,0.0,14.062,2.0,2.0,1.0,1.0,2.0
