code,ELECTROMAGNETISME,ELECTRONIQUE,ANALYS NUMER /PROB & STAT,ALGORITHMIQUE & PROGRAMMA,BASE DE LA CONCEPTION,TECHNO/METALL ET THERMO,TECHNI DOC /PROD DOC/ENTR,DAO ET OUTILS DE MATLAB,ALGEBRE 3,MECANIQUE DU SOLIDE,TECHN D'EXPRE ET DE COMM
7611129,10.54,13.476,8.372,9.417,11.735,13.394,12.178,10,12.3,8.815,12.6
7611506,8.86,10.36,8.93,10.082,9.825,11.967,13.761,8.85,10.4,6.015,11.32
7615691,9.84,13.808,9.905,11.341,13.066,16.182,17.383,9.65,13.5,7.94,13.48
7618639,6.44,10.74,5.095,15.974,10.908,14.358,12.962,15.25,7.6,6.365,12.68
7618665,11.62,10.97,6.99,12.849,10.949,15.141,14.957,13.65,11.3,10.88,14.44
7618809,8.42,11.173,11.082,11.295,12.618,13.153,12.926,11.65,11,5.049,7.76
7619573,10.12,9.854,10.599,5.675,9.805,14.52,14.601,8.925,11.9,5,11.2
7619701,10.085,11.474,9.78,8.615,11.997,14.744,15.335,13.575,10.4,10.04,12.5
7619767,9,8.037,7.055,12.555,11.227,13.35,13.563,12.95,8.8,6.82,10.08
7626474,10.4,11.27,8.18,10.056,13.806,16.511,16.997,12.75,10.8,10.635,12.82
7626567,10.12,14.863,14.555,14.454,14.567,16.44,15.51,16.4,17.1,11.265,14.44
7626672,11.1,11.936,12.253,13.218,13.066,14.746,16.467,11.95,13.8,9.13,13.68
7626673,7.14,12.587,7.394,9.821,10.724,11.58,14.147,11.275,6.4,5.665,10
7626721,9.7,11.854,11.33,8.526,13.916,14.654,15.85,13.4,11.6,7.59,11.6
7626723,11.1,12.88,7.55,10.529,13.403,13.15,13.434,13.875,14.9,8.325,11.48
7626725,5.42,10.028,7.61,7.702,11.76,13.012,12.959,12.9,11.5,8.815,12.84
7626731,9,9.978,9.495,10.748,11.409,14.011,13.401,13.875,7.9,6.68,11.84
7626737,9.56,11.941,11.67,16.626,13.438,15.671,17.642,18.15,15.2,10.565,13.8
7626738,9.14,10.435,8.79,16.447,12.107,13.819,14.015,14.45,13.6,5.07,13.52
7626739,7,10.302,12.937,11.27,13.551,14.702,15.708,17.35,13.9,9.025,11.24
