Code individue,Annee,Nom,Nature,NOTE,Barem
7554396,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.658,20
7593013,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,9.003,20
7603888,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.449,20
7603933,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,11.127,20
7603994,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,7.126,20
7604014,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.704,20
7605218,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.319,20
7610105,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,13.288,20
7610132,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,7.761,20
7610141,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.724,20
7610147,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,13.357,20
7610148,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,10.438,20
7611129,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.459,20
7611506,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.082,20
7615691,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.442,20
7618639,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.855,20
7618645,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.6,20
7618650,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,9.288,20
7618657,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.4,20
7618665,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.633,20
7618747,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,11.759,20
7618809,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,13.138,20
7619073,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.14,20
7619131,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,7.645,20
7619134,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.296,20
7619163,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.715,20
7619573,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,11.996,20
7619594,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,13.408,20
7619701,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.211,20
7619717,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,8.522,20
7619767,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,10.215,20
7619781,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,9.878,20
7620463,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,11.886,20
7626474,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.883,20
7626567,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,14.95,20
7626672,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,14.133,20
7626673,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,8.601,20
7626721,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.295,20
7626723,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.636,20
7626725,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,12.263,20
7626731,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,11.127,20
7626737,2018,SEMESTRE 1 GENIE ELECTRIQ,Semestre01,13.857,20
7626738,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,12.526,20
7626739,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,13.863,20
7626741,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,14.221,20
7626743,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.095,20
7626744,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,13.522,20
7626745,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,12.52,20
7626746,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.5,20
7626747,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,11.457,20
7626749,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.446,20
7626750,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.829,20
7626751,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,15.539,20
7626752,2018,SEMESTRE 1 GENIE MECANIQU,Semestre01,7.197,20
7626755,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,11.983,20
7626756,2018,SEMESTRE 1 GENIE INDUSTRI,Semestre01,13.262,20
